symbol,name,price,Volume,turnover,blue_daily,blue_days,latest_day_blue_value,blue_weekly,blue_weeks,latest_week_blue_value,lired_daily,lired_days,latest_day_lired_value,lired_weekly,lired_weeks,latest_week_lired_value,has_day_blue,has_week_blue,has_day_lired,has_week_lired,has_day_week_blue,has_day_week_lired,day_heima_count,week_heima_count,day_juedi_count,week_juedi_count,has_day_heima,has_week_heima,latest_cci_daily,latest_cci_weekly
002726.SZ,龙大美食,4.59,239303.98,109.84052682000001,0.0,0,0.0,0.0,2,165.34104269744944,0.0,0,0,0.0,0,0,False,True,False,False,False,False,0,0,1,0,True,False,-72.67175572519099,-93.67149758454109
002992.SZ,宝明科技,51.58,21820.99,112.55266642,0.0,0,0.0,0.0,3,195.2994198449984,0.0,0,0,0.0,0,0,False,True,False,False,False,False,0,1,0,1,False,True,50.04149907425161,-80.00725689404915
300015.SZ,爱尔眼科,11.5,253211.05,291.1927075,0.0,0,0.0,0.0,2,200.0,0.0,0,0,0.0,0,0,False,True,False,False,False,False,1,0,1,1,True,True,-63.44206136431329,-163.15064520806166
300059.SZ,东方财富,22.61,2342666.66,5296.76931826,191.45915560419544,4,191.45915560419544,0.0,0,0.0,0.0,0,0,0.0,0,0,True,False,False,False,False,False,0,0,1,1,True,True,-117.16518753880497,-158.92242520518923
300100.SZ,双林股份,38.08,103561.42,394.36188735999997,0.0,0,0.0,0.0,2,181.9069465537649,0.0,0,0,0.0,0,0,False,True,False,False,False,False,0,0,0,1,False,True,51.31029244208105,-74.02007348988604
300185.SZ,通裕重工,2.89,617999.0,178.60171100000002,0.0,3,153.4230397337384,0.0,0,0.0,0.0,0,0,0.0,0,0,True,False,False,False,False,False,0,0,0,1,False,True,-50.1913393756292,-97.47503297531554
300212.SZ,易华录,18.54,118787.73,220.23245141999996,109.46720441056131,1,109.46720441056131,145.48795283963972,3,145.48795283963972,0.0,0,0,0.0,0,0,False,True,False,False,False,False,0,0,1,1,True,True,-149.70870137192273,-122.8946737044146
300377.SZ,赢时胜,16.43,136836.13,224.82176159000002,0.0,0,0.0,0.0,3,200.0,0.0,0,0,0.0,0,0,False,True,False,False,False,False,0,0,0,1,False,True,-97.600685518424,-121.41316073354906
300627.SZ,华测导航,30.54,177298.12,541.46845848,76.21394808563429,0,0.0,200.0,3,200.0,0.0,0,0,0.0,0,0,False,True,False,False,False,False,0,0,1,0,True,False,-173.8396624472575,-98.14298978644364
300633.SZ,开立医疗,27.05,37919.0,102.57089500000001,116.67458866490996,3,116.67458866490996,141.79771528195178,2,141.79771528195178,0.0,0,0,0.0,0,0,True,True,False,False,True,False,0,0,1,2,True,True,-93.47369101904876,-112.89941399184899
300687.SZ,赛意信息,22.81,61645.41,140.61318021,0.0,0,0.0,0.0,2,200.0,0.0,0,0,0.0,0,0,False,True,False,False,False,False,0,0,0,1,False,True,-86.85843203609701,-109.99195818254917
300735.SZ,光弘科技,25.72,90621.2,233.0777264,0.0,4,129.4168304214463,0.0,0,0.0,0.0,0,0,0.0,0,0,True,False,False,False,False,False,0,0,0,1,False,True,-53.601545073717645,-146.81576780754392
300760.SZ,迈瑞医疗,200.62,42517.96,852.99531352,0.0,1,102.4106097010997,0.0,3,200.0,0.0,0,0,0.0,0,0,False,True,False,False,False,False,1,1,0,1,True,True,0.12410063970925476,-95.16459029676903
300765.SZ,新诺威,30.94,117778.6,364.40698840000005,81.33097216826307,0,0.0,155.49710074075722,3,155.49710074075722,0.0,0,0,0.0,0,0,False,True,False,False,False,False,0,1,1,0,True,True,-111.22097511728747,-87.62971538228888
300832.SZ,新产业,59.05,20274.36,119.72009579999998,0.0,3,151.89509233224277,0.0,0,0.0,0.0,0,0,0.0,0,0,True,False,False,False,False,False,1,0,1,1,True,True,-70.09900990098996,-119.08214670510469
