symbol,company_name,signals,price,volume,turnover,pink_daily,blue_daily,pink_weekly,blue_weekly,lired_daily,lired_weekly,DIF,DEA,MACD,EMAMACD,V1,V2,V3,V4
GDEVW,GDEV Inc. Warrant,"周PINK上穿10, , 倍量柱(2次)",0.0165,2500.0,41.25,12.323067159808804,0.0,8.044137780906853,0.0,0,0,-0.004178359435040194,-0.003241119608140456,-0.0018744796537994764,-0.00048088959874153305,0.00016097560975609758,-8.074137890537382e-05,-6.722116776135866e-05,-1.4872232258416676e-06
GECCI,Great Elm Capital Corp. 8.50% NOTES DUE 2029,"日BLUE>150(5天), , 周BLUE>150(2周)",24.97,100.0,2497.0,35.13778859003413,0.0,20.10724914175842,0.0,0,0,-0.08804861759141858,-0.07201939445163075,-0.03205844627957566,-0.04825787101866871,0.24360975609756097,-0.001477130831683271,-0.0014505862527224508,-2.9199036856902144e-06
GGUS,Goldman Sachs MarketBeta Russell 1000 Growth Equity ETF,"日BLUE>150(3天), , 周BLUE>150(2周)",47.02,1175.0,55248.50000000001,30.65316528301089,0.0,20.261943510875174,0.0,0,0,-1.3693990774979952,-1.589024877161674,0.4392515993273576,0.23124432315321675,0.4583658536585366,-0.020760105633489956,-0.02291743850333473,0.00023730661568292514
GJR,"Synthetic Fixed Income Securities, Inc. Floating Rate Structured Repackaged Asset-Backed Trust Securities (STRATS)","日PINK上穿10, , 周PINK上穿10, , 倍量柱(3次)",24.46,1100.0,26906.0,8.712339324318494,142.13288002632075,7.538449564062368,189.5475393626589,0,0,-0.11829184802817139,-0.02596046714320062,-0.18466276176994154,-0.13101904884939314,0.23920731707317078,-0.002056502325111814,-0.0013069504541362545,-8.245070580731156e-05
GLADZ,Gladstone Capital Corporation 7.75% Notes due 2028,"周BLUE>150(2周), 倍量柱(3次)",25.75,10813.0,278434.75,67.94055169501496,0.0,56.813947691724714,0.0,0,0,-0.009984824531404257,-0.04555097632013276,0.071132303577457,-0.024500176245671836,0.250609756097561,8.24582286704234e-05,-0.0007809117308799083,9.497069555053649e-05
GMNY,Goldman Sachs Dynamic New York Municipal Income ETF,"日BLUE>150(3天), , 周BLUE>150(3周), 黄金柱(1次), 倍量柱(2次)",48.73,922.0,44929.06,43.848427815999734,0.0,51.91693290734818,0.0,0,0,-0.42996573088093015,-0.3799842718838507,-0.0999629179941589,-0.22328087560961912,0.4752653658536585,-0.006279242413337605,-0.007080420571295514,8.812959737537002e-05
GPRF,Goldman Sachs Access U.S. Preferred Stock and Hybrid Securities ETF,"日BLUE>150(4天), , 周BLUE>150(2周), 倍量柱(1次)",48.93,131.0,6409.83,22.132710081509675,0.0,,0.0,0,0,-0.598704074687312,-0.5233026491865395,-0.1508028510015451,-0.31397924019255047,0.47736585365853657,-0.008699552881712869,-0.009614174396590939,0.00010060836663658769
GPN,Global Payments Inc.,"周PINK上穿10, , 倍量柱(2次)",69.84,9053712.0,632311246.08,14.109794311751884,102.6032302378831,6.6697834148483865,134.35824545995357,0,0,-7.0641225218961665,-4.951001161189128,-4.226242721414078,-2.9912960534677167,0.6948170731707317,-0.11599076357699423,-0.09635561325472655,-0.002159866535449444
GPRE,"Green Plains, Inc.","日PINK上穿10, 周BLUE>150(7周), 倍量柱(1次)",3.405,436111.0,1484957.9549999998,6.198923521193044,0.0,1.8718689123017174,0.0,0,0,-0.7147302670226425,-0.6658529926711196,-0.09775454870304578,-0.10020411203293647,0.03358536585365854,-0.01181057592899007,-0.011760857253575521,-5.4690542956002675e-06
GRPZ,Invesco S&P SmallCap 600 GARP ETF,"日BLUE>150(3天), , 周BLUE>150(4周), 倍量柱(2次)",21.582,3.0,64.74600000000001,25.3198379839352,0.0,11.096200311850776,0.0,0,0,-0.8401800819506846,-0.7885017095555262,-0.10335674479031676,-0.2515304695252321,0.21055609756097562,-0.013050305056081457,-0.013865334707759832,8.96532616846212e-05
GSFP,Goldman Sachs Future Planet Equity ETF,"周BLUE>150(2周), 倍量柱(2次)",29.7352,102.0,3032.9903999999997,62.257236635684286,0.0,32.88584488214457,0.0,0,0,-0.541913418485386,-0.5989245616764358,0.11402228638209966,-0.20558148088062478,0.2900995121951219,-0.006943906440820102,-0.009347497473728436,0.0002643950136199168
HAPS,Harbor Human Capital Factor US Small Cap ETF,"日BLUE>150(3天), , 周BLUE>150(3周), 倍量柱(2次)",24.7844,2.0,49.5688,28.62596411104486,0.0,12.043627394796886,0.0,0,0,-1.0136068938345062,-1.0074289691864795,-0.012355849296053378,-0.2591127955768474,0.24179902439024392,-0.015113807953096137,-0.01688169679251164,0.00019446777233570552
H,Hyatt Hotels Corporation,"日PINK上穿10, 周BLUE>150(4周)",106.24,288952.0,30698260.479999997,9.40262351354707,0.0,4.883125687258785,0.0,0,0,-7.927219346123678,-7.703998811765538,-0.44644106871628075,-0.47452275737068517,1.034740487804878,-0.12806944054699732,-0.12719786167081226,-9.587367638035583e-05
HEAT,Touchstone Climate Transition ETF,"日BLUE>150(3天), , 周BLUE>150(2周), 倍量柱(1次)",24.0399,0.0,0.0,55.41987826923234,0.0,29.889775572914658,0.0,0,0,-0.4738198381342045,-0.5469067657717754,0.14617385527514193,-0.10675454515898275,0.23453560975609755,-0.006272748157207547,-0.008414885362258281,0.0002356350925555807
HDRO,Defiance Next Gen H2 ETF,"周BLUE>150(4周), 倍量柱(1次)",26.3228,4588.0,120769.0064,28.910923269934127,0.0,10.80156122876246,0.0,0,0,-1.2848956932086786,-1.510123003283672,0.45045462014998705,0.11215855281958068,0.25701365853658537,-0.018928855331470817,-0.02209428649736667,0.0003481974282485438
HIYS,Invesco High Yield Select ETF,"周BLUE>150(3周), 倍量柱(2次)",24.7688,1503.0,37227.5064,45.38187006228322,0.0,24.740106565669674,0.0,0,0,-0.21347830740294071,-0.22022618112438663,0.013495747442891837,-0.0662498194138322,0.24183268292682925,-0.0029268980950186985,-0.003557142722083747,6.932690897715535e-05
