symbol,price,Volume,turnover,blue_daily,max_blue_daily,blue_days,blue_weekly,max_blue_weekly,blue_weeks,lired_daily,lired_days,lired_weekly,lired_weeks,company_name
MYGN,7.475,499008.0,373.00847999999996,0.0,131.91078972594468,0,0.0,290.03429695774224,4,0.0,0,0.0,0,Myriad Genetics Inc
SPYI,45.28,498420.0,2256.84576,0.0,0.0,0,0.0,324.18546996645335,2,0.0,0,0.0,0,NEOS S&P 500 High Income ETF
XNCR,10.29,176468.0,181.58557199999998,0.0,0.0,0,0.0,195.81707591344437,3,0.0,0,0.0,0,"Xencor, Inc."
SNAP,7.815,7716086.0,6030.121209,0.0,0.0,0,0.0,171.84484664652274,2,0.0,0,0.0,0,Snap Inc.
IGOV,42.17,577081.0,2433.550577,0.0,0.0,0,0.0,0.0,0,0.0,5,0.0,0,iShares 1-3 Year International Treasury Bond ETF
ZGN,7.145,160984.0,115.023068,0.0,0.0,0,0.0,218.87705588044125,3,0.0,0,0.0,0,Ermenegildo Zegna N.V.
ILMN,74.24,417150.0,3096.9215999999997,0.0,0.0,0,0.0,261.6931291095419,3,0.0,0,0.0,0,Illumina Inc
CBT,78.54,54114.0,425.01135600000003,0.0,0.0,0,0.0,350.0,2,0.0,0,0.0,0,Cabot Corporation
BBH,145.9,12021.0,175.38639,0.0,0.0,0,0.0,295.92753513285555,2,0.0,0,0.0,0,VanEck Biotech ETF
WSFS,48.66,87553.0,426.03289799999993,0.0,0.0,0,0.0,350.0,2,0.0,0,0.0,0,WSFS Financial Corp
PXH,20.86,205362.0,428.38513200000006,0.0,0.0,0,0.0,202.78901814662038,2,0.0,0,0.0,0,Invesco FTSE RAFI Emerging Markets ETF
COWZ,50.21,1604853.0,8057.966912999999,0.0,0.0,0,0.0,201.05255631339494,2,0.0,0,0.0,0,Pacer US Cash Cows 100 ETF
SOXL,9.055,105600152.0,95620.937636,0.0,0.0,0,0.0,211.99583292561718,2,0.0,0,0.0,0,Direxion Daily Semiconductor Bull 3X Shares
RGLD,185.825,201817.0,3750.2644025,0.0,0.0,0,0.0,0.0,0,0.0,4,0.0,0,Royal Gold Inc
UHAL.B,53.41,50691.0,270.740631,0.0,0.0,0,0.0,218.25602068820925,2,0.0,0,0.0,0,U-Haul Holding Company
TGT,94.6112,1515886.0,14341.97935232,0.0,0.0,0,0.0,228.0176614060925,3,0.0,0,0.0,0,Target Corporation
QCOM,137.23,2478807.0,34016.668460999994,0.0,0.0,0,0.0,188.53578599860506,2,0.0,0,0.0,0,QUALCOMM Incorporated
AOSL,16.87,243793.0,411.278791,0.0,155.6585208406055,1,0.0,350.0,3,0.0,0,0.0,0,Alpha and Omega Semiconductor Limited
HFXI,27.0268,38901.0,105.13695468000002,0.0,0.0,0,0.0,179.73427878852974,2,0.0,0,0.0,0,NYLI FTSE International Equity Currency Neutral ETF
USM,66.66,54668.0,364.416888,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,2,United States Cellular Corporation
XCEM,29.2401,35210.0,102.9543921,0.0,0.0,0,0.0,206.22538183827925,2,0.0,0,0.0,0,Columbia EM Core ex-China ETF
MRK,78.46,2560738.0,20091.550348,0.0,296.2182495827997,1,0.0,230.05175923170083,3,0.0,0,0.0,0,"Merck & Co., Inc."
NOW,766.12,515809.0,39517.159108,0.0,0.0,0,0.0,194.1729409372364,2,0.0,0,0.0,0,"ServiceNow, Inc."
QQQI,45.22,367269.0,1660.790418,0.0,0.0,0,0.0,204.16121715827612,2,0.0,0,0.0,0,NEOS Nasdaq 100 High Income ETF
XHR,9.88,160208.0,158.285504,0.0,0.0,0,0.0,212.82277022984934,3,0.0,0,0.0,0,"Xenia Hotels & Resorts, Inc."
LBRT,11.805,1158609.0,1367.7379245,0.0,0.0,0,0.0,215.3627564810589,2,0.0,0,0.0,0,Liberty Energy Inc.
XYZ,53.5739,1703978.0,9128.87469742,0.0,0.0,0,0.0,350.0,2,0.0,0,0.0,0,"Block, Inc."
NETD,11.04,741302.0,818.3974079999999,0.0,0.0,0,0.0,0.0,0,-5.2063812843515676,0,-350.0,2,Nabors Energy Transition Corp. II Class A Ordinary Shares
SCO,19.56,513126.0,1003.6744559999999,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,2,ProShares UltraShort Bloomberg Crude Oil
MTD,999.78,56634.0,5662.154052,0.0,0.0,0,0.0,197.54093791979273,3,0.0,0,0.0,0,Mettler-Toledo International Inc.
SII,53.88,218878.0,1179.314664,0.0,0.0,0,0.0,0.0,0,-229.3537886555063,4,-141.84201697340987,0,Sprott Inc.
LAZR,3.6309,822349.0,298.58669841,0.0,170.1859992606772,2,0.0,186.92812141735004,3,0.0,0,0.0,0,"Luminar Technologies, Inc. Class A Common Stock"
PVH,70.96,236206.0,1676.1177759999998,0.0,0.0,0,0.0,170.1349384550494,3,0.0,0,0.0,0,PVH Corp.
FTEC,148.9438,109821.0,1635.7157059800002,0.0,0.0,0,0.0,350.0,2,0.0,0,0.0,0,Fidelity MSCI Information Technology Index ETF
BSJR,22.19,124527.0,276.325413,0.0,0.0,0,0.0,350.0,2,0.0,0,0.0,0,Invesco BulletShares 2027 High Yield Corporate Bond ETF
VFLO,31.705,171417.0,543.4775984999999,0.0,0.0,0,0.0,271.324571768505,2,0.0,0,0.0,0,VictoryShares Free Cash Flow ETF
DOW,28.85,2542904.0,7336.27804,0.0,0.0,0,0.0,225.37481328914922,3,0.0,0,0.0,0,Dow Inc.
STNE,12.985,2729097.0,3543.7324545,0.0,0.0,0,0.0,0.0,0,-260.35654361761505,5,-182.78965544104986,1,StoneCo Ltd. Class A Common Shares
IP,46.3,826385.0,3826.16255,0.0,0.0,0,0.0,278.7102286298814,2,0.0,0,0.0,0,International Paper Company
VTMX,24.605,616177.0,1516.1035085,0.0,0.0,0,0.0,224.21980191230816,2,0.0,0,0.0,0,"Corporacion Inmobiliaria Vesta, S.A.B de C.V., American Depositary Shares, each representing ten (10) Common Shares"
UTSL,32.5001,44192.0,143.62444192,0.0,0.0,0,0.0,305.66175195779095,2,0.0,0,0.0,0,Direxion Daily Utilities Bull 3X Shares
