symbol,signal_date,buy_price,blue,lired,cci,heima,5d,5d_price,10d,10d_price,20d,20d_price,max_gain,max_loss,month
000055.SZ,2025-01-09,3.74,0.0,0.0,-95.56113902847581,,7.754010695187167,4.03,5.080213903743314,3.93,8.823529411764708,4.07,18.716577540106954,-3.208556149732623,2025-01
000055.SZ,2025-04-09,3.76,200.0,0.0,-182.04432383536883,,1.5957446808510654,3.82,4.521276595744691,3.93,10.372340425531931,4.15,17.819148936170212,-8.776595744680842,2025-04
000055.SZ,2025-04-10,3.83,0.0,0.0,-87.15658411151712,,1.8276762402088733,3.9,2.349869451697124,3.92,7.3107049608355155,4.11,15.665796344647509,-1.8276762402088846,2025-04
000055.SZ,2025-04-11,3.81,0.0,0.0,-73.0729964267483,,2.0997375328084007,3.89,13.123359580052481,4.31,8.398950131233592,4.13,16.272965879265083,-1.3123359580052563,2025-04
000055.SZ,2025-04-14,3.86,0.0,0.0,-48.89641334336602,,2.072538860103629,3.94,6.994818652849742,4.13,7.25388601036269,4.14,14.76683937823834,-2.5906735751295358,2025-04
000055.SZ,2025-06-20,3.91,135.07185808915006,0.0,-206.54679575841433,,7.41687979539642,4.2,7.9283887468030585,4.22,7.41687979539642,4.2,11.50895140664962,-1.0230179028133002,2025-06
000055.SZ,2025-06-23,3.97,137.8966898350681,0.0,-151.05672969966622,,8.31234256926951,4.3,7.808564231738037,4.28,9.319899244332484,4.34,9.823677581863983,-2.5188916876574328,2025-06
000055.SZ,2025-06-24,4.08,0.0,0.0,-25.92592592592601,,3.921568627450984,4.24,5.8823529411764754,4.32,6.8627450980392215,4.36,7.107843137254903,-2.696078431372546,2025-06
000055.SZ,2025-06-25,4.11,0.0,0.0,26.27986348122865,,3.892944038929422,4.27,4.1362530413625285,4.28,4.866180048661783,4.31,6.326034063260335,-1.4598540145985521,2025-06
000055.SZ,2025-06-26,4.17,0.0,-130.8077432214662,99.09909909909818,,2.6378896882494085,4.28,4.0767386091127085,4.34,4.796163069544368,4.37,5.035971223021582,-1.9184652278177474,2025-06
000056.SZ,2025-06-23,3.03,200.0,0.0,-166.15620214395202,,2.640264026402643,3.11,8.25082508250825,3.28,4.290429042904302,3.16,12.871287128712877,-3.3003300330032888,2025-06
000056.SZ,2025-06-24,3.07,0.0,0.0,-68.49176172370102,,11.400651465798049,3.42,6.840390879478826,3.28,1.6286644951140152,3.12,11.400651465798049,-1.6286644951140006,2025-06
000056.SZ,2025-06-25,3.1,0.0,0.0,-13.875847678665485,,7.096774193548379,3.32,5.806451612903216,3.28,-0.3225806451612978,3.09,10.322580645161285,-1.6129032258064602,2025-06
