code,name,industry,area,source
001282.SZ,三联锻造,汽车配件,安徽,tushare
001283.SZ,豪鹏科技,电气设备,深圳,tushare
001286.SZ,陕西能源,火力发电,陕西,tushare
001287.SZ,中电港,元器件,深圳,tushare
001288.SZ,运机集团,专用机械,四川,tushare
001289.SZ,龙源电力,新型电力,北京,tushare
001296.SZ,长江材料,其他建材,重庆,tushare
001298.SZ,好上好,元器件,深圳,tushare
001299.SZ,美能能源,供气供热,陕西,tushare
001300.SZ,三柏硕,文教休闲,山东,tushare
001301.SZ,尚太科技,电气设备,河北,tushare
001306.SZ,夏厦精密,机械基件,浙江,tushare
001308.SZ,康冠科技,元器件,深圳,tushare
001309.SZ,德明利,半导体,深圳,tushare
001311.SZ,多利科技,汽车配件,安徽,tushare
001313.SZ,粤海饲料,饲料,广东,tushare
001314.SZ,亿道信息,元器件,深圳,tushare
001316.SZ,润贝航科,批发业,深圳,tushare
001317.SZ,三羊马,铁路,重庆,tushare
001318.SZ,阳光乳业,乳制品,江西,tushare
001319.SZ,铭科精技,汽车配件,广东,tushare
001322.SZ,箭牌家居,家居用品,广东,tushare
001323.SZ,慕思股份,家居用品,广东,tushare
001324.SZ,长青科技,运输设备,江苏,tushare
001326.SZ,联域股份,电气设备,深圳,tushare
001328.SZ,登康口腔,日用化工,重庆,tushare
001330.SZ,博纳影业,影视音像,新疆,tushare
001331.SZ,胜通能源,供气供热,山东,tushare
001332.SZ,锡装股份,专用机械,江苏,tushare
001333.SZ,光华股份,化工原料,浙江,tushare
001335.SZ,信凯科技,化工原料,浙江,tushare
001336.SZ,楚环科技,专用机械,浙江,tushare
001337.SZ,四川黄金,黄金,四川,tushare
001338.SZ,永顺泰,啤酒,广东,tushare
001339.SZ,智微智能,IT设备,深圳,tushare
001356.SZ,富岭股份,塑料,浙江,tushare
001358.SZ,兴欣新材,化工原料,浙江,tushare
001359.SZ,平安电工,矿物制品,湖北,tushare
001360.SZ,南矿集团,工程机械,江西,tushare
001366.SZ,播恩集团,饲料,江西,tushare
001367.SZ,海森药业,化学制药,浙江,tushare
001368.SZ,通达创智,文教休闲,福建,tushare
001373.SZ,翔腾新材,元器件,江苏,tushare
001376.SZ,百通能源,供气供热,江西,tushare
001378.SZ,德冠新材,塑料,广东,tushare
001379.SZ,腾达科技,机械基件,山东,tushare
001380.SZ,华纬科技,汽车配件,浙江,tushare
