factor,ic_mean,ic_std,ir,hit_rate,abs_ic,sample_days,score
RANK5,-0.037837305260523826,0.4927464130191923,-1.2189811719191495,0.49523809523809526,0.4152632608642924,210,0.4229299363057325
VSUMN20,-0.015035343666730159,0.5038516411532298,-0.4737082542096193,0.5093457943925234,0.4292871555196671,214,0.42006369426751594
IMXD20,0.039851983135228836,0.47353962286166335,1.3359613202972591,0.5373831775700935,0.40434943282152225,214,0.4181528662420382
SUMD30,0.0438436409292128,0.4830079886553836,1.4409621355526663,0.5186915887850467,0.404170511513924,214,0.4181528662420382
SUMP30,0.04384364457353443,0.4830079853116873,1.4409622653019747,0.5186915887850467,0.40417050379585234,214,0.4168789808917197
QTLU20,0.004710448055754085,0.509546469775653,0.1467501967940257,0.5,0.4385937839348716,214,0.414968152866242
CNTP20,0.04669078132415547,0.47037084221908115,1.5757634378894314,0.5420560747663551,0.3934113466996126,214,0.41369426751592353
MAX60,-0.04481640668517737,0.49028001618877426,-1.4510858631308028,0.4766355140186916,0.4103390069054716,214,0.41337579617834397
QTLU30,-0.014771829919083303,0.5049088133317611,-0.4644314459556611,0.48130841121495327,0.43265447221067305,214,0.4070063694267516
QTLD60,-0.0017844843082898709,0.5160709115447955,-0.054891313491389856,0.514018691588785,0.43923894590850976,214,0.40541401273885347
MA20,0.021017651237899015,0.49475745772101637,0.6743604663300565,0.514018691588785,0.4212889437920141,214,0.4009554140127389
VSUMD20,0.01503533967182353,0.5038516461870973,0.47370812361212733,0.49065420560747663,0.4292871661592175,214,0.39904458598726117
RSV60,0.036499526598642355,0.48299727463168135,1.1996175807646348,0.5280373831775701,0.4052166226981872,214,0.3904458598726115
VSUMP20,0.015035337210487703,0.5038516388802768,0.47370805293418966,0.49065420560747663,0.42928715281755236,214,0.39012738853503187
CORD60,0.0015427000444955103,0.5202900858724346,0.04706913442480006,0.4953271028037383,0.442447046120564,214,0.3843949044585987
SUMN30,-0.043843641974372224,0.4830079863175901,-1.4409621768771659,0.48130841121495327,0.40417050949362554,214,0.37452229299363055
CNTP10,0.012010781069876617,0.5072423186051713,0.3758859061671183,0.4953271028037383,0.4259860511650797,214,0.36464968152866245
VSUMD30,0.01857263298852597,0.5029444973604971,0.5862106256717968,0.514018691588785,0.4191432167907486,214,0.36401273885350316
VSUMP30,0.0185726136645791,0.502944434053168,0.5862100895355968,0.514018691588785,0.41914317756412806,214,0.35509554140127386
RSQR30,0.038370668004930185,0.4600134157105075,1.3241254499980353,0.5280373831775701,0.3862451659598038,214,0.35031847133757965
IMXD10,0.01866189670480688,0.4831145040536715,0.6132054069096152,0.5046728971962616,0.41585814269315696,214,0.34267515923566877
CNTD20,0.038488422848450284,0.4588961164248682,1.331422841475727,0.5233644859813084,0.3783533272395191,214,0.3398089171974522
SUMP10,-0.008291550159979812,0.49412584858419856,-0.266378046435508,0.5,0.4247438023330459,214,0.3347133757961783
SUMD10,-0.008291550710508848,0.49412584596619796,-0.26637806553338655,0.5,0.4247437992110153,214,0.3340764331210191
CNTD5,-0.014104701087817707,0.49280950917690636,-0.45434429369184665,0.5093457943925234,0.419920637829511,214,0.3328025477707006
VSUMN30,-0.0185726484661152,0.5029445027689644,-0.5862111078892375,0.48598130841121495,0.41914321349088396,214,0.33184713375796177
ROC20,-0.017297224088786745,0.49808623900360194,-0.5512798755761804,0.46261682242990654,0.4240752689933289,214,0.3315286624203822
RSV5,-0.015643513426573316,0.49121882536619993,-0.5055447066039189,0.514018691588785,0.4158113564632475,214,0.33152866242038215
MA30,-0.00646981318991192,0.507258479981552,-0.20247093825035678,0.4672897196261682,0.42999247045996547,214,0.3273885350318471
SUMN10,0.008291546925830989,0.4941258451845734,0.26637794436649875,0.5,0.42474379770521603,214,0.32579617834394903
BETA20,0.027414264670461028,0.4745940671152792,0.9169688167567344,0.5093457943925234,0.4057167865800272,214,0.3238853503184713
IMAX10,0.028008279096158297,0.4786700108983115,0.9288604606784049,0.5,0.4070792801078679,212,0.32261146496815285
CORR10,-0.03153325714996309,0.48496360085724916,-1.0321907413155662,0.4766355140186916,0.4089582369839014,214,0.3222929936305733
IMAX5,0.0031018473486830777,0.501533827813942,0.09817941962485117,0.5071090047393365,0.4250767146003449,211,0.30828025477707005
SUMD20,0.028910462953959555,0.4806002954682163,0.9549294411823511,0.5186915887850467,0.39334540772649634,214,0.28694267515923566
SUMP20,0.02891046048261777,0.4806002963850548,0.9549293577307782,0.5186915887850467,0.39334540737041745,214,0.28121019108280254
CNTD10,-0.0019948988138414267,0.503180033987435,-0.06293579787341819,0.48598130841121495,0.42522652251050186,214,0.27452229299363057
IMIN5,-0.0050651347102693,0.4913747756001829,-0.16363583316679445,0.49238578680203043,0.41975295818450686,197,0.26305732484076433
CORD30,-0.018236219887142916,0.4865357641738459,-0.5950045965134519,0.48598130841121495,0.4073503714298254,214,0.2611464968152866
RANK10,-0.019009961472569253,0.48315662990315406,-0.6245878960545643,0.4858490566037736,0.40699657151636637,212,0.25955414012738853
CNTN30,-0.032843007669896986,0.44837066722861957,-1.1628026133693683,0.4719626168224299,0.37115756896760366,214,0.2522292993630573
SUMN20,-0.028910463894845688,0.48060029615945427,-0.9549294708869122,0.48130841121495327,0.3933454121559459,214,0.24968152866242038
CNTP5,-0.003700823293221843,0.49094021064717575,-0.11966579067319746,0.5046728971962616,0.4181440809349027,214,0.2445859872611465
RSV30,0.022156815307957652,0.4615509216860113,0.7620579276831069,0.5233644859813084,0.3833993631985734,214,0.2442675159235669
RSQR5,0.00462706883337254,0.4859712000446241,0.1511456658068303,0.5093457943925234,0.41454776623649964,214,0.24235668789808917
IMIN30,0.008226397710344687,0.49088216362691833,0.26603128987214664,0.4858490566037736,0.41459441350561616,212,0.2340764331210191
RSV10,0.009424387033372108,0.48866441230681495,0.30615592690881915,0.5046728971962616,0.40976408254306307,214,0.2337579617834395
CNTN20,-0.028290314022252405,0.4528726570605543,-0.9916580422491051,0.45794392523364486,0.3747510278490929,214,0.21305732484076434
SUMD5,0.002187470441527554,0.4968087959824406,0.06989613914312968,0.5046728971962616,0.4115422049568461,214,0.19554140127388536
SUMP5,0.00218746861911514,0.4968087950057765,0.06989608104907931,0.5046728971962616,0.4115422058160176,214,0.19363057324840766
RANK20,-0.01405594032436175,0.47138637825031576,-0.473350833931114,0.4716981132075472,0.4009975471366365,212,0.18662420382165607
SUMN5,-0.0021874688435300814,0.4968087940925698,-0.06989608834827847,0.4953271028037383,0.4115422025805988,214,0.17802547770700639
RSV20,0.018049139698590917,0.46096697970265393,0.6215655843974536,0.4719626168224299,0.3798495099921286,214,0.1700636942675159
RANK60,0.009733508504640926,0.4865493645596234,0.3175724162425408,0.4835680751173709,0.3996264977035045,213,0.16560509554140126
IMIN10,-0.004234792064632152,0.479659942834809,-0.14015187414903746,0.4801980198019802,0.40568833359213463,202,0.14267515923566879
RANK30,-0.004482544283846231,0.4724852356338916,-0.15060403824022328,0.49765258215962443,0.3967853830110867,213,0.1369426751592357
IMXD5,0.004230313963806217,0.4785874683872402,0.1403174063918329,0.49056603773584906,0.3994601413798626,212,0.12834394904458601
